device_mac,attack_label,count
00:a3:d1:07:6f:03,benign,1430
00:a3:d1:07:6f:03,brute force,520
00:a3:d1:07:6f:03,ddos,201
00:a3:d1:07:6f:47,brute force,21
24:05:88:30:6f:89,benign,1475
24:05:88:30:6f:89,brute force,300
24:05:88:30:6f:89,ddos,41
3c:18:a0:41:c3:a0,benign,8603
3c:18:a0:41:c3:a0,brute force,3508
3c:18:a0:41:c3:a0,ddos,2860
56:4f:8a:e1:f3:2d,benign,1894
56:4f:8a:e1:f3:2d,brute force,1101
56:4f:8a:e1:f3:2d,ddos,512
5c:26:0a:28:80:77,benign,458
5c:26:0a:28:80:77,brute force,149
5c:26:0a:28:80:77,ddos,9
94:39:e5:5d:27:a6,brute force,3408
AMCREST WiFi Camera,benign,471
AMCREST WiFi Camera,brute force,395
AMCREST WiFi Camera,ddos,375
AeoTec Smart Home Hub,benign,2023
AeoTec Smart Home Hub,brute force,758
AeoTec Smart Home Hub,ddos,289
Amazon Echo Dot 1,benign,1984
Amazon Echo Dot 1,brute force,616
Amazon Echo Dot 1,ddos,2496
Amazon Echo Dot 2,benign,5155
Amazon Echo Dot 2,brute force,1456
Amazon Echo Dot 2,ddos,598
Amazon Echo Show,benign,7532
Amazon Echo Show,brute force,840
Amazon Echo Show,ddos,260
Amazon Echo Spot,brute force,1718
Amazon Echo Spot,ddos,268
Amazon Echo Studio,benign,2908
Amazon Echo Studio,brute force,763
Amazon Echo Studio,ddos,101
Amazon Plug,benign,210
Amazon Plug,brute force,68
Amazon Plug,ddos,269
Arlo Base Station,benign,756
Arlo Base Station,brute force,277
Arlo Base Station,ddos,67
Arlo Q Indoor Camera,benign,89195
Arlo Q Indoor Camera,brute force,2559
Arlo Q Indoor Camera,ddos,767
Atomi Coffee Maker,benign,509
Atomi Coffee Maker,brute force,159
Atomi Coffee Maker,ddos,24
Borun/Sichuan-AI Camera,brute force,764
Borun/Sichuan-AI Camera,ddos,116
Cocoon Smart HVAC Fan,benign,427
Cocoon Smart HVAC Fan,brute force,135
Cocoon Smart HVAC Fan,ddos,107
DCS8000LHA1 D-Link Mini Camera,benign,117
DCS8000LHA1 D-Link Mini Camera,brute force,43
DCS8000LHA1 D-Link Mini Camera,ddos,100
Eufy HomeBase 2,benign,792
Eufy HomeBase 2,brute force,235
Eufy HomeBase 2,ddos,100
Globe Lamp ESP_B1680C,brute force,252
Globe Lamp ESP_B1680C,ddos,58
GoSund Bulb,benign,696
GoSund Bulb,brute force,251
GoSund Bulb,ddos,79
GoSund Power strip (2),benign,693
GoSund Power strip (2),brute force,252
GoSund Power strip (2),ddos,90
GoSund Smart Plug WP2 (2),benign,696
GoSund Smart Plug WP2 (2),brute force,252
GoSund Smart Plug WP2 (2),ddos,110
GoSund Smart Plug WP3 (1),benign,693
